File,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
M13-merged.txt,0.0,0.0,0.0,0.0
M6-merged.txt,0.004170141784820684,0.013888888888888888,0.0,0.013888888888888888
M3-merged.txt,0.015527950310559006,0.0,0.0,0.0
M16-merged.txt,0.02994011976047904,0.03278688524590165,0.0,0.03278688524590165
M11-merged.txt,0.02613240418118467,0.05263157894736842,0.0,0.02631578947368421
M9-merged.txt,0.029069767441860465,0.0625,0.0,0.0625
M4-merged.txt,0.017301038062283735,0.05405405405405405,0.0,0.036036036036036036
M19-merged.txt,0.019059720457433288,0.05607476635514018,0.0,0.05607476635514018
M1-merged.txt,0.0,0.0,0.0,0.0
M14-merged.txt,0.015756302521008403,0.03389830508474576,0.0,0.03389830508474576
M2-merged.txt,0.0,0.0,0.0,0
M17-merged.txt,0.006896551724137932,0.023529411764705882,0.0,0.023529411764705882
M20-merged.txt,0.0,0.0,0.0,0.0
M12-merged.txt,0.019132653061224487,0.06382978723404255,0.0,0.04255319148936171
M7-merged.txt,0.0,0.0,0.0,0
M18-merged.txt,0.017271157167530225,0.058823529411764705,0.0,0.04411764705882353
M15-merged.txt,0.013518080432578574,0.035398230088495575,0.0,0.02949852507374631
M10-merged.txt,0.008532423208191127,0.02857142857142857,0.0,0.02857142857142857
M8-merged.txt,0.016103059581320453,0.04395604395604395,0.0,0.04395604395604395
M5-merged.txt,0.0453857791225416,0.05217391304347826,0.0,0.034782608695652174
