File,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
1018-joint_summary.txt,0.16118528166720936,0.30103806228373703,0.017361111111111112,0.15916955017301035
1030-joint_summary.txt,0.12745098039215685,0.23255813953488372,0.010771992818671455,0.10017889087656529
1004-joint_summary.txt,0.10243525318902205,0.16632016632016633,0.0041753653444676405,0.09563409563409564
1028-joint_summary.txt,0.14157973174366617,0.17504051863857373,0.016260162601626015,0.07779578606158834
1032-joint_summary.txt,0.10726474890297417,0.16810344827586204,0.012987012987012988,0.08620689655172413
1040-joint_summary.txt,0.0,0.0,0.0,0
1023-joint_summary.txt,0.0,0.0,0.0,0
1013-joint_summary.txt,0.0,0.0,0.0,0
1027-joint_summary.txt,0.15981735159817348,0.25,0.020242914979757082,0.0967741935483871
1044-joint_summary.txt,0.09948269001193794,0.1775147928994083,0.0039603960396039604,0.08284023668639053
1024-joint_summary.txt,0.0,0.0,0.0,0
1047-joint_summary.txt,0.0,0.0,0.0,0
1043-joint_summary.txt,0.13104013104013104,0.18595825426944973,0.011428571428571429,0.08728652751423152
1046-joint_summary.txt,0.0,0.0,0.0,0
1008-joint_summary.txt,0.0,0.0,0.0,0
